检查项目 | 英文名 | 别名 | 分类 

白细胞数 | White Blood Cell count | WBC | 临床血液检查
脑脊液游离型髓鞘碱性蛋白 | Malonyldialolehyde | FMBP | 体液和排泄物检查
脑脊液游离型髓鞘碱性蛋白抗体 | Malonyldialolehyde | FMPBA | 体液和排泄物检查
脑脊液髓鞘碱性蛋白片段 | Malonyldialolehyde |   | 体液和排泄物检查
脑脊液纤维连接蛋白 | Fibronectin CSF | Fn | 体液和排泄物检查
脑脊液脑膜炎球菌抗原 | Fibronectin CSF |   | 体液和排泄物检查
脑脊液结核性脑膜炎抗体 | mycobacterium tuber-culosis antibody |   | 体液和排泄物检查
脑脊液特异性梅毒螺旋体抗体 | ecific treponema pallidum antibody |   | 体液和排泄物检查
脑脊液猪囊虫抗体 | cysticercosis antibody |   | 体液和排泄物检查
脑脊液单克隆抗体检测癌细胞 | moncional antibody cancer cell | MCAb | 体液和排泄物检查
胸水检查 | moncional antibody cancer cell |   | 体液和排泄物检查
纤维蛋白-琼脂平板溶解试验 | moncional antibody cancer cell |   | 临床血液检查
腹水检查 | moncional antibody cancer cell |   | 体液和排泄物检查
心包积液检查 | moncional antibody cancer cell |   | 体液和排泄物检查
关节腔液检查 | moncional antibody cancer cell |   | 体液和排泄物检查
积液纤维结合蛋白 | moncional antibody cancer cell | FN | 体液和排泄物检查
积液β2-微球蛋白 | β2-microglobulin | β2-MG | 体液和排泄物检查
积液癌胚抗原 | β2-microglobulin | CEA | 体液和排泄物检查
胸腹水纤维蛋白降解产物 | β2-microglobulin | FDP | 体液和排泄物检查
腹水甘油三酯 | β2-microglobulin | TG | 体液和排泄物检查
积液乳酸脱氢酶 | β2-microglobulin | LDH | 体液和排泄物检查
积液腺苷脱氢酶 | adenosine deaminase | ADA | 体液和排泄物检查
纤维蛋白肽A | fibrinopepide-A | FPA | 临床血液检查
积液溶菌酶 | Lysozyme | LZM | 体液和排泄物检查
痰液量 | Lysozyme |   | 体液和排泄物检查
痰液颜色 | Lysozyme |   | 体液和排泄物检查
痰液性状 | Lysozyme |   | 体液和排泄物检查
痰液气味 | Lysozyme |   | 体液和排泄物检查
痰液中细胞分类 | Lysozyme |   | 体液和排泄物检查
痰液中晶体 | Lysozyme |   | 体液和排泄物检查
痰液中寄生虫和虫卵 | Lysozyme |   | 体液和排泄物检查
痰液中弹力纤维 | Lysozyme |   | 体液和排泄物检查
痰液中柯什曼螺旋体 | curshmann |   | 体液和排泄物检查
纤维蛋白肽Bβ1～42 | curshmann | FPBβ1～42 | 临床血液检查
痰液细菌涂片检查 | curshmann |   | 体液和排泄物检查
痰液中分泌型IgA | ecretory IgA | SIgA | 体液和排泄物检查
痰液中分泌型IgE | ecretory | SIgE | 体液和排泄物检查
痰液细菌培养 | ecretory |   | 体液和排泄物检查
胃液总量 | ecretory |   | 体液和排泄物检查
胃液颜色 | color |   | 体液和排泄物检查
胃液气味 | Odor |   | 体液和排泄物检查
胃液酸碱度(pH) | Odor | H | 体液和排泄物检查
胃液显微镜检查 | Odor |   | 体液和排泄物检查
基础胃液分泌量 | asic acid output | BAO | 体液和排泄物检查
凝血酶消耗试验 | asic acid output | PCT | 临床血液检查
最大胃液分泌量 | maximal acid output | MAO | 体液和排泄物检查
高峰胃酸分泌量 | eak acid output | PAO | 体液和排泄物检查
基础胃液分泌量/高峰胃液分泌量 | eak acid output | BAO/MAO | 体液和排泄物检查
胰岛素胃酸分泌量 | eak acid output |   | 体液和排泄物检查
无管胃酸分析 | eak acid output |   | 体液和排泄物检查
五肽胃泌素胃液分析 | entagastrin |   | 体液和排泄物检查
胃液乳酸定性试验 | entagastrin | 乳酸定性试验 | 体液和排泄物检查
胃液潜血试验 | entagastrin | 胃液隐血试验 | 体液和排泄物检查
胃液蛋白酶 | tomach protease | P.P | 体液和排泄物检查
胃液尿素测定 | Urea |   | 体液和排泄物检查
肝促凝血酶原激酶试验 | Urea | HPT | 临床血液检查
胃液γ-谷氨酰转移酶 | Urea |   | 体液和排泄物检查
胃液β-葡萄糖醛酸苷酶 | Urea | β-Ga | 体液和排泄物检查
胃液乳酸脱氢酶同工酶 | Urea | LDHI | 体液和排泄物检查
胃液胃组织癌胚抗原 | carcinoembryonic antigen | CEA | 体液和排泄物检查
胃液胃癌相关抗原 | carcinoembryonic antigen |   | 体液和排泄物检查
胃液锌 | Zinc、Zn |   | 体液和排泄物检查
胃液IgG IgA | Zinc、Zn |   | 体液和排泄物检查
十二指肠引流一般性状检查 | Zinc、Zn |   | 体液和排泄物检查
十二指肠引流显微镜检查 | Zinc、Zn |   | 体液和排泄物检查
十二指肠引流胰蛋白酶 | Zinc、Zn |   | 体液和排泄物检查
纤维蛋白肽Bβ15～42 | Zinc、Zn | FPBβ15～42 | 临床血液检查
伦德试验 | Lundh | Lundh试餐试验 | 体液和排泄物检查
胰酶泌素-胰泌素试验 | ancreozyminsecrtin | P-S | 体液和排泄物检查
精液量 | ancreozyminsecrtin |   | 体液和排泄物检查
精液颜色 | ancreozyminsecrtin |   | 体液和排泄物检查
精液黏稠度 | ancreozyminsecrtin |   | 体液和排泄物检查
精液气味 | ancreozyminsecrtin |   | 体液和排泄物检查
精液液化时间 | ancreozyminsecrtin |   | 体液和排泄物检查
精液酸度 | ancreozyminsecrtin | H | 体液和排泄物检查
精子数 | ancreozyminsecrtin |   | 体液和排泄物检查
精子形态 | ancreozyminsecrtin |   | 体液和排泄物检查
异形淋巴细胞 | ancreozyminsecrtin |   | 临床血液检查
β-血小板球蛋白 | β-thromboglobulin | β-TG | 临床血液检查
精子活动率 | β-thromboglobulin |   | 体液和排泄物检查
精子活动力 | β-thromboglobulin |   | 体液和排泄物检查
精子运动速度 | β-thromboglobulin |   | 体液和排泄物检查
精液细胞 | cell |   | 体液和排泄物检查
精液细菌 | cell |   | 体液和排泄物检查
精子子宫黏液贯通试验 | Sims-Huhner |   | 体液和排泄物检查
精液果糖 | Sims-Huhner |   | 体液和排泄物检查
精液锌 | Sims-Huhner |   | 体液和排泄物检查
精液肉毒碱 | carnitine |   | 体液和排泄物检查
精液柠檬酸 | carnitine |   | 体液和排泄物检查
血小板第Ⅳ因子 | latlet factor 4 | PF4 | 临床血液检查
精液酸性磷酸酶 | acid phosphatase | ACP | 体液和排泄物检查
精液乳酸脱氢酶-X | LDH-X |   | 体液和排泄物检查
精子顶体酶 | LDH-X |   | 体液和排泄物检查
精浆α-葡萄糖苷酶 | α-Glucosidase |   | 体液和排泄物检查
前列腺液颜色 | α-Glucosidase |   | 体液和排泄物检查
前列腺液卵磷脂小体 | α-Glucosidase |   | 体液和排泄物检查
前列腺液细胞 | α-Glucosidase |   | 体液和排泄物检查
前列腺液中淀粉样体 | α-Glucosidase |   | 体液和排泄物检查
前列腺液中细菌和原虫 | α-Glucosidase |   | 体液和排泄物检查
羊水量 | α-Glucosidase |   | 体液和排泄物检查
蝰蛇毒时间 | Russell Viper Venom Time | RVVT | 临床血液检查
羊水颜色 | Russell Viper Venom Time |   | 体液和排泄物检查
羊水渗透量(压) | Russell Viper Venom Time |   | 体液和排泄物检查
羊水卵磷脂/鞘磷脂比值 | Russell Viper Venom Time | L/S | 体液和排泄物检查
羊水胆红素 | Russell Viper Venom Time |   | 体液和排泄物检查
羊水肌酐 | Russell Viper Venom Time | Cr | 体液和排泄物检查
羊水脂肪细胞出现率 | Russell Viper Venom Time |   | 体液和排泄物检查
羊水钠 | Russell Viper Venom Time |   | 体液和排泄物检查
羊水尿酸 | Russell Viper Venom Time | UA | 体液和排泄物检查
羊水甲胎球蛋白 | Russell Viper Venom Time |   | 体液和排泄物检查
羊水白细胞 | Russell Viper Venom Time |   | 体液和排泄物检查
蝰蛇毒磷脂凝固时间 | Russell Viper Venom Time | RVVCT | 临床血液检查
羊水细菌检查 | Russell Viper Venom Time |   | 体液和排泄物检查
羊水与尿液鉴别试验 | Russell Viper Venom Time |   | 体液和排泄物检查
羊水泡沫试验 | Russell Viper Venom Time |   | 体液和排泄物检查
羊水细胞培养染色体检查 | Russell Viper Venom Time |   | 体液和排泄物检查
羊水细胞性染色质检查 | Russell Viper Venom Time |   | 体液和排泄物检查
阴道分泌物清洁度 | Russell Viper Venom Time |   | 体液和排泄物检查
子宫颈黏液检查 | Russell Viper Venom Time |   | 体液和排泄物检查
白带检查 | Russell Viper Venom Time |   | 体液和排泄物检查
宫腔细菌培养 | Russell Viper Venom Time |   | 体液和排泄物检查
阴道滴虫检查 | culture and identification(trichomonas) |   | 体液和排泄物检查
蝰蛇毒复钙时间 | culture and identification(trichomonas) | RVVRT | 临床血液检查
阴道分泌物细胞学检查 | culture and identification(trichomonas) |   | 体液和排泄物检查
解脲脲原体 | culture and identification(trichomonas) | UU | 体液和排泄物检查
汗液电解质检查 | culture and identification(trichomonas) |   | 体液和排泄物检查
滑膜液肉眼检查 | culture and identification(trichomonas) |   | 体液和排泄物检查
滑膜液常规检查 | culture and identification(trichomonas) |   | 体液和排泄物检查
唾液pH值 | culture and identification(trichomonas) |   | 体液和排泄物检查
唾液钾 | culture and identification(trichomonas) | K＋ | 体液和排泄物检查
唾液钠 | culture and identification(trichomonas) | Na＋ | 体液和排泄物检查
唾液钠/钾比值 | culture and identification(trichomonas) | Na＋/K＋ | 体液和排泄物检查
唾液氯化物 | culture and identification(trichomonas) | Cl | 体液和排泄物检查
蕲蛇酶时间 | culture and identification(trichomonas) | AT | 临床血液检查
唾液碳酸氢盐 | culture and identification(trichomonas) | HCO3－ | 体液和排泄物检查
唾液淀粉酶 | culture and identification(trichomonas) | AMS | 体液和排泄物检查
唾液溶菌酶 | culture and identification(trichomonas) | LZM | 体液和排泄物检查
唾液尿素氮 | culture and identification(trichomonas) | BUN | 体液和排泄物检查
唾液肌酐 | culture and identification(trichomonas) | Cr | 体液和排泄物检查
唾液白蛋白 | culture and identification(trichomonas) | Alb | 体液和排泄物检查
唾液分泌型免疫球蛋白 | culture and identification(trichomonas) | S-IgA | 体液和排泄物检查
唾液皮质醇 | culture and identification(trichomonas) | FC | 体液和排泄物检查
唾液睾酮 | culture and identification(trichomonas) |   | 体液和排泄物检查
唾液醛固酮 | culture and identification(trichomonas) | ALD | 体液和排泄物检查
游离肝素时间 | Free Heparin Time | 甲苯胺蓝纠正试验 | 临床血液检查
唾液黏蛋白 | mucoprotein |   | 体液和排泄物检查
唾液富酪蛋白 | mucoprotein |   | 体液和排泄物检查
唾液富组蛋白 | mucoprotein |   | 体液和排泄物检查
唾液中的细胞 | mucoprotein |   | 体液和排泄物检查
泪液pH | mucoprotein |   | 体液和排泄物检查
泪液溶菌酶 | mucoprotein |   | 体液和排泄物检查
泪液乳铁蛋白 | mucoprotein | LF | 体液和排泄物检查
泪液β2-微球蛋白 | mucoprotein | β2-MG | 体液和排泄物检查
泪液乳酸脱氢酶 | lactate dehydrogenase，LDH |   | 体液和排泄物检查
泪液电解质 | lactate dehydrogenase，LDH |   | 体液和排泄物检查
肝素-抗凝血酶Ⅳ复合物 | lactate dehydrogenase，LDH | H-ATⅢ | 临床血液检查
泪液表皮生长因子 | lactate dehydrogenase，LDH | EGF | 体液和排泄物检查
泪液分泌型免疫球蛋白A | lactate dehydrogenase，LDH | S-IgA | 体液和排泄物检查
红细胞电泳时间 | lactate dehydrogenase，LDH |   | 临床血液流变学检查
全血黏度 | lactate dehydrogenase，LDH | WBV | 临床血液流变学检查
全血比黏度 | lactate dehydrogenase，LDH | yb | 临床血液流变学检查
血浆黏度 | lactate dehydrogenase，LDH | YP；PV | 临床血液流变学检查
血清黏度 | lactate dehydrogenase，LDH | SV | 临床血液流变学检查
血清比黏度 | lactate dehydrogenase，LDH | YS | 临床血液流变学检查
全血还原黏度 | lactate dehydrogenase，LDH | Yr | 临床血液流变学检查
血沉方程K值 | lactate dehydrogenase，LDH |   | 临床血液流变学检查
复钙交叉试验 | cross recalcification test | CRT | 临床血液检查
红细胞变形性 | deforambility of red blood cells | RCD | 临床血液流变学检查
红细胞聚集性 | aggregation of red blood cells |   | 临床血液流变学检查
血栓弹力图 | thromboela-stogram | TEG | 临床血液流变学检查
红细胞表面电荷 | elechic charge of red blood cells |   | 临床血液流变学检查
血小板电泳时间测定 | elechic charge of red blood cells | PET | 临床血液流变学检查
抗凝血酶-Ⅲ | antifhrombin | AT-Ⅲ | 临床血液检查
棒状小体 | antifhrombin | Auer小体 | 临床血液检查
爬虫酶时间 | reptilase time | RPT | 临床血液检查
血浆鱼精蛋白副凝试验 | Plasma Protamine Paraco-agulation Test | PPP；3P | 临床血液检查
纤维蛋白溶解时间 | Fibrinelysis test |   | 临床血液检查
白陶土部分凝血活酶时间 | Koalin Partial Thromboplastic Time | KPTT | 临床血液检查
阿司匹林耐量试验 | Aspirin Tolerance Test | ATT | 临床血液检查
复钙时间 | Recalcification Time | RT | 临床血液检查
狼疮性抗凝因子 | Recalcification Time |   | 临床血液检查
血清钾 | Serum Kalium | K | 血液生化检查
血清钠 | Serum Natium | Na | 血液生化检查
浆细胞 | lasmacyte |   | 临床血液检查
血清氯化物 | Serum Chlorde | Cl | 血液生化检查
血清钙 | Serum Calcium | Ca2＋ | 血液生化检查
血清无机磷 | Serum Phosphoras | P | 血液生化检查
全血铁 | Serum Phosphoras |   | 血液生化检查
血清铁 | Serumlron | Fe | 血液生化检查
血清不饱和铁结合力 | Serumlron | UIBC | 血液生化检查
血清总铁结合力 | Totallronbinding capacity | TIBC | 血液生化检查
血清铜 | Serum Copper | Cu | 血液生化检查
血清铁/铜比值 | Serum Copper | Fe/Cu | 血液生化检查
血清镁 | Serum Magnesium | Mg | 血液生化检查
嗜中性粒细胞核鼓槌小体 | Serum Magnesium |   | 临床血液检查
血清锌 | Serum Zinc | Zn | 血液生化检查
全血铅 | Plumbum Acid | Pb | 血液生化检查
全血汞 | jurgen Kruse-jarres.Acid | Hg | 血液生化检查
全血锰 | jurgen Kruse-jarres.Acid | Mn | 血液生化检查
全血砷 | jurgen D.Kruse.jarre S | As | 血液生化检查
全血镉 | jurgen D.Kruse.jarre S | Cd | 血液生化检查
全血硒 | Selenium | Se | 血液生化检查
全血镍 | Selenium | Ni | 血液生化检查
血清铝 | Aluminium | Al | 血液生化检查
血清金 | Aluminium | Au | 血液生化检查
粒细胞集落刺激因子 | Aluminium | G-CSF | 临床血液检查
血清锂 | Lithium | Li | 血液生化检查
血清铯 | Lithium | Cs | 血液生化检查
血浆氟化物 | Lithium | F | 血液生化检查
全血铬 | Chromium | Cr | 血液生化检查
血液葡萄糖 | Serum Glucose | Clu | 血液生化检查
葡萄糖耐量试验 | Glucose Tolerance Test | GTT | 血液生化检查
皮质素葡萄糖耐量试验 | Glucose Tolerance Test | CPOGTT | 血液生化检查
糖化血红蛋白 | Clucosylated Hemoglobin | CHb | 血液生化检查
血液果糖 | Fractose | Fr | 血液生化检查
果糖耐量试验 | Fructose Tolerance Test | FrTT | 血液生化检查
红细胞计数 | Red Blood Cell Count | RBC | 临床血液检查
血液半乳糖 | Galactose | GAL | 血液生化检查
半乳糖耐量试验 | Galactose Tolerance Test | GalTT | 血液生化检查
血清已糖 | Galactose Tolerance Test |   | 血液生化检查
血清乳糖 | Galactose Tolerance Test |   | 血液生化检查
血清总脂 | totallipids | TL | 血液生化检查
血清游离脂肪酸 | onestesterified fatty acid | 非脂化脂肪酸 | 血液生化检查
血清胆固醇 | Cholesterol CH Chol |   | 血液生化检查
血清游离胆固醇 | Cholesterol CH Chol |   | 血液生化检查
血清胆固醇酯 | cholesterol | Che；CE | 血液生化检查
胆固醇酯与总胆固醇比值 | cholesterol | Che；Chol | 血液生化检查
循环红细胞量 | cholesterol |   | 临床血液检查
血清磷脂 | Serum Phospholipid | PL；PHL | 血液生化检查
血清胆固醇与磷脂比值 | Serum Phospholipid | C/P | 血液生化检查
血清甘油三脂 | Serum Triglyceride | 三酰甘油；TG | 血液生化检查
血清脂蛋白和血清脂蛋白电泳 | Serum Lipoproteineletrophoresis | 脂蛋白电泳 | 血液生化检查
血清脂蛋X | Serum Lipoproteineletrophoresis | LP-X | 血液生化检查
血清脂蛋白-α | Lipoprotein-α | Lp-α | 血液生化检查
高密度脂蛋白胆固醇 | HDL-cholesterolin | HDL-ch；HDL-c | 血液生化检查
高密度脂蛋白2-胆固醇 | HDL2-cholesterol，Subsetin | HDL2-C | 血液生化检查
高密脂蛋白3-胆固醇 | HDL3-Cholesterol，Subsetin | HDL3-C | 血液生化检查
低密度脂蛋白-胆固醇 | LDL-cholesterolin | LDL-c | 血液生化检查
全血容量 | LDL-cholesterolin |   | 临床血液检查
极低密度脂蛋白-胆固醇 | Very Low Density Lipoprotein Cholesterolin | VLDL-C | 血液生化检查
载脂蛋白AⅠ | Serum Apoprotein AⅠ | APOA-Ⅰ | 血液生化检查
载脂蛋白AⅡ | Serum Apoprotein AⅡ | APOA-Ⅱ | 血液生化检查
载脂蛋白B | Serum Apoprotein AⅡ | APOB | 血液生化检查
载脂蛋白CⅠ | Serum Apoprotein AⅡ | ApoCⅠ | 血液生化检查
载脂蛋白CⅢ | Serum Apoprotein AⅡ | ApoCⅢ | 血液生化检查
长碳链脂肪酸 | Serum Apoprotein AⅡ | VLCFA | 血液生化检查
血清过氧化脂质 | Lipid Peroxides in Serum | LPO | 血液生化检查
血清游离甘油 | Lipid Peroxides in Serum |   | 血液生化检查
乳糜微粒 | chylomicron | CM | 血液生化检查
循环血浆量 | chylomicron |   | 临床血液检查
红细胞膜磷脂 | chylomicron |   | 血液生化检查
透明质酸 | hyaluronic acid | HA | 血液生化检查
总胆汁酸 | total bile acids | TBA | 血液生化检查
苷-鹅脱氧胆酸 | total bile acids | CDCG | 血液生化检查
苷-胆酸 | Cholyglycine | CG | 血液生化检查
石胆酸 | Cholyglycine | LCA | 血液生化检查
血清总蛋白 | Serum Total Proteins | TP | 血液生化检查
血清白蛋白 | Serum Albumin | AIb | 血液生化检查
血清球蛋白 | Serum Albumin | Glo | 血液生化检查
血清白蛋白/球蛋白比值 | Serum Albumin | A/G | 血液生化检查
白细胞分类计数 | Differen-fial count | DC | 临床血液检查
红细胞寿命 | Differen-fial count |   | 临床血液检查
血清粘蛋白 | Serum Mucoprotein | SM | 血液生化检查
血清冷球蛋白 | Cryoglobulin Seram | CG | 血液生化检查
血清肌红蛋白 | Myogobin in Serum | Mb | 血液生化检查
血清结合球蛋白 | Myogobin in Serum | 结合珠蛋白；结合触球蛋白 | 血液生化检查
血清α1-微球蛋白 | α1 microglobalin | α1-MG | 血液生化检查
血清α2-巨球蛋白 | α2-macroglobulin | α2-MG | 血液生化检查
血清β2-微球蛋白 | β2-MG |   | 血液生化检查
血清前白蛋白 | Prealbumin | 前清蛋白；PA | 血液生化检查
α2-热稳定性糖蛋白 | α2-HS-Glycoprotein，Ba-α2-glycoprotein | α2-HSG | 血液生化检查
维生素A醇结合蛋白 | Retinol-Binding Protein | 血视黄醇结合蛋白；RBP | 血液生化检查
红细胞破坏部位测定 | Retinol-Binding Protein |   | 临床血液检查
血红素结合蛋白 | Hemopexin | HPx | 血液生化检查
血浆游离血红蛋白 | Plasma free hemoglobin | FHb | 血液生化检查
血清铁蛋白 | Serum ferretin | SF | 血液生化检查
血清运铁蛋白 | treansferrin | 转铁蛋白；Tf | 血液生化检查
铜蓝蛋白 | Ceraloplasmin | CP | 血液生化检查
血浆正铁血红蛋白 | Ceraloplasmin | MHA | 血液生化检查
血浆结合球蛋白半定量测定 | Ceraloplasmin |   | 血液生化检查
变性球蛋白(Heinz)小体染色试验 | Globin Denturation Test；Heinz Body Staining | Heinz | 血液生化检查
变性球蛋白(Heinz)小体生成试验 | Globin Denturation Test；Heinz Body Staining | 血红蛋白H | 血液生化检查
血清纤维结合蛋白 | Fibronectin，Cold-insoluble Globulin | Fn | 血液生化检查
红细胞大小异常 | Fibronectin，Cold-insoluble Globulin |   | 临床血液检查
β1-妊娠特异蛋白 | Pegnaney Secific β-Glycopro-tein，P1，Sβ1G | PSβ1G；SP1 | 血液生化检查
血清Ⅳ型胶原蛋白 | Collagen in Serum | C-Ⅳ | 血液生化检查
血清Ⅲ型胶原蛋白 | Collagen in Serum | PC-Ⅲ | 血液生化检查
3.8sα2-糖蛋白 | 3.8sα2-glycoprotein Gistidine-rich α2-Glycoprotein | HRG | 血液生化检查
糖化血清蛋白 | Glycosylated Serum Protein | 果糖胺；GSP | 血液生化检查
血清肌钙蛋白I(TnI)和肌钙蛋白T(TnT) | Glycosylated Serum Protein |   | 血液生化检查
血清α1-酸性糖蛋白 | α1-Acid glycoprotein | α1-AG；AAG；AGP | 血液生化检查
血清α1-抗胰蛋白酶蛋白 | α1-antitrypsin | α1-AT | 血液生化检查
间α胰蛋酶抑制物 | Inter-α-Trypsin Inhibitor，IαTI | 蛋白π | 血液生化检查
血清甲状腺素结合前白蛋白 | Inter-α-Trypsin Inhibitor，IαTI | TBPA | 血液生化检查
红细胞生成素 | Inter-α-Trypsin Inhibitor，IαTI | EPO | 临床血液检查
血浆β-血小板球蛋白 | β-Thromboglobulin | β-TG | 血液生化检查
血清皮质醇结合球蛋白 | croticosterool binding globulin | CBG | 血液生化检查
血清类固醇结合β-球蛋白 | croticosterool binding globulin | SB-β-G | 血液生化检查
α2-妊娠相关蛋白 | α2-pregnancy-Associated Glyco-protein | α2-PAG；SP3 | 血液生化检查
血清淀粉样蛋白A | Lothar Thamas | SAA | 血液生化检查
层粘连蛋白 | laminin | 板层素；LN | 血液生化检查
纤维连接蛋白 | Fibronectin Clod-Insoluble Globulin | 纤维结合蛋白；Fn | 血液生化检查
颗粒膜蛋白-140 | α-granule membrane protein-140 | GMP-140 | 血液生化检查
α2-HS-糖蛋白 | α2-HS-Glyco Protein，Ba-α2-Glyco Protein | α2-HS热稳定性糖蛋白 | 血液生化检查
红细胞比容 | α2-HS-Glyco Protein，Ba-α2-Glyco Protein | 红细胞压积 | 临床血液检查
烟碱 | α2-HS-Glyco Protein，Ba-α2-Glyco Protein |   | 血液生化检查
血清冷纤维蛋白原 | α2-HS-Glyco Protein，Ba-α2-Glyco Protein |   | 血液生化检查
血液碳氧血红蛋白 | Carboxy-hemoglobin | 一氧化碳血红蛋白；CoHb | 血液生化检查
血液硫化血红蛋白 | Carboxy-hemoglobin | SHb | 血液生化检查
GC球蛋白 | GC-Clobulin，GC |   | 血液生化检查
血红蛋白A2 | GC-Clobulin，GC | HbA2 | 血液生化检查
妊娠相关血浆蛋白A | Pregnancy-Associated Plasma Protein A | PAPP-A | 血液生化检查
血清蛋白电泳 | Protein ElectroPhoresis | SPE | 血液生化检查
性激素结合蛋白 | Sex Hormone-Binding Globa-lin | SHBG | 血液生化检查
红细胞平均直径 | Sex Hormone-Binding Globa-lin | MCD | 临床血液检查
C反应蛋白 | Creaction Protein | CRP | 血液生化检查
血栓调节蛋白活性 | Thrombomodulin Activity | TM∶A | 血液生化检查
血浆蛋白C抗原 | Protein C Determination | PC∶Ag | 血液生化检查
麝香草酸浊度试验 | thymolturbidi-tytest | TTT | 血液生化检查
硫酸锌浊度试验 | thymolturbidi-tytest | ZnTT | 血液生化检查
复方碘试验 | thymolturbidi-tytest | 卢戈氏碘试验 | 血液生化检查
血清甘-鹅去氧胆酸 | thymolturbidi-tytest | CDGG | 血液生化检查
氨基酸测定 | determination of a mino acid |   | 血液生化检查
血氨 | Blood Ammonia | BA | 血液生化检查
胍基化合物 | Blood Ammonia | GC | 血液生化检查
血细胞分析仪 | Blood Ammonia |   | 临床血液检查
血清肌酐 | Creatinine | Cr | 血液生化检查
血清尿素 | Urea，ure | UREA | 血液生化检查
血清尿素氮 | Blood Urea Nitrogen | BUN | 血液生化检查
血液尿素氮与肌酐比值 | Blood Urea Nitrogen | BUN/Cr | 血液生化检查
血清尿酸 | Uric Acid in Blood | UA | 血液生化检查
血浆环磷酸腺苷 | cyclic adenosine monophosphate | cAMP | 血液生化检查
血乳酸 | Blood Lactic Acid | BLA | 血液生化检查
血液丙酮酸 | Blood Pyruvic Acid | PA | 血液生化检查
乳酸与丙酮酸比值 | Blood Pyruvic Acid | LA/PA | 血液生化检查
β-羟丁酸 | β-Hydroxybutyric Acid | β-HB | 血液生化检查
红细胞体积分布宽度 | RBC distribution width | RDW | 临床血液检查
血清乙酰乙酸 | Acetoacetic Acid | AcAc | 血液生化检查
血清-氧化氮 | Nitric Oxide No | NO | 血液生化检查
血浆缬氨酸 | Valine，Val | Val | 血液生化检查
血浆亮氨酸 | Valine，Val | Leu | 血液生化检查
血浆异亮氨酸 | Valine，Val | Ile | 血液生化检查
丙氨酸 | Valine，Val | Ala | 血液生化检查
丝氨酸 | Valine，Val | Ser | 血液生化检查
组氨酸 | Histidine，His |   | 血液生化检查
精氨酸 | Histidine，His | Lys | 血液生化检查
天门冬氨酸 | Histidine，His | Asp | 血液生化检查
红细胞体积指数 | Histidine，His |   | 临床血液检查
甘氨酸 | Glyeine | Gly | 血液生化检查
