中医百科

Asian toddalia root (bark) - 飞龙掌血
six climatic factors - 六气
five zang viscera - 五脏
visceral manifestations - 脏象
zang-fu viscera - 脏腑
seven emotions - 七情
	traditional Chinese medicine - 中医学
Chinese materia medica - 中药学
integration of traditional and western medicine - 中西医结合
traditional Chinese medicine and pharmacology - 中医药学
illness of child viscera affecting the mother one - 子病及母
illness of mother viscera affecting the child one - 母病及子
wood generating fire - 木生火
fire generating earth - 火生土
earth generating metal - 土生金
metal generating water - 金生水
water generating wood - 水生木
mutual restriction of five phases - 五行相克
over-restriction of five phases - 五行相乘
doctrine of five evolutive phases and six climatic factors - 运气学说
five evolutive phases - 五运
vitamins               - 维生素
science of acupuncture and moxibustion of traditional Chinese medicine   - 针灸学
department of dentistry and stomatology       - 口齿科
department of incantation and psychology       - 祝由科
Shoushi Baoyuan; Longevity and Life Preservation      - 寿世保元
traditional Chinese medicine and pharmacology       - 中医药学
traditional Chinese medicine and pharmacology       - 中医药
department of pharynx and larynx       - 咽喉科
department of sores and wounds       - 金疮肿科
integration of traditional and western medicine      - 中西医结合
Waitai Miyao Fang; Arcane Essentials from the Imperial Library   - 外台秘要方
Medical Institute of Benevolence        - 惠民局
pox inoculation          - 人痘接种术
palace physician          - 太医
classical formulae          - 经方
medical record          - 医案
astringent formula          - 涩剂
harmonizing method          - 和法
purgative formula          - 泄剂
moist formula          - 湿剂
light formula          - 轻剂
obstruction-removing formula          - 通剂
lubricating formula          - 滑剂
resolving method          - 消法
diffusing formula          - 宣剂
dry formula          - 燥剂
heavy formula          - 重剂
even-ingredient prescriptions          - 偶方
case record          - 诊籍
minor prescriptions          - 小方
gentle prescriptions          - 缓方
urgent prescriptions          - 急方
compound recipe          - 重方
clearing method          - 清法
warming method          - 温法
emetic method          - 吐法
pharmaceutical botany          - 药用植物学
needling contraindications          - 刺禁
medical sage          - 医圣
medical classic          - 医经
Wenyi Lun; On Plague Diseases       - 温疫论
Lingshu Jing; Miraculous Pivot        - 灵枢经
Chishui Xuanzhu; Black Pearl from Red River     - 赤水玄珠
Ji Yin Gangmu; Outline for Women's Diseases     - 济阴纲目
Piwei Lun; Treatise on Spleen and Stomach     - 脾胃论
Shanghan Lun; Treatise on Cold Pathogenic Diseases     - 伤寒论
Yilin Gaicuo; Correction on Errors in Medical Classics    - 医林改错
ten functional types of formularies       - 十剂
science of tuina of traditional Chinese medicine     - 中医推拿学
osteology and traumatology of traditional Chinese medicine     - 中医骨伤科学
Jingui Yaolue; Synopsis of Golden Chamber      - 金匮要略
four scholastic sects of Jin-yuan dynasties      - 金元四家
theories of schools of traditional Chinese medicine     - 中医各家学说
Yanfang Xin Bian; New Compilation of Effective Recipes    - 验方新编
Yizong Jinjian; Golden Mirror of Medicine      - 医宗金鉴
Chinese Association of Minority Medicine       - 中国民族医药学会
Imperial Academy of Medicine        - 太医院
thirteen branches of medicine        - 十三科
erudite for general medicine        - 医博士
Gujin Yitong Daquan; Medical Complete Book, Ancient and Modern   - 古今医统大全
Jiuhuang Bencao; Materia Medica for Famines      - 救荒本草
Shiliao Bencao; Materia Medica for Dietotherapy      - 食疗本草
Tangye Bencao; Materia Medica for Decoctions      - 汤液本草
Wanbing Huichun; Curative Measures for All Diseases     - 万病回春
Haiyao Bencao; Oversea Materia Medica       - 海药本草
pharmacology of Chinese materia medica       - 中药药理学
chemistry of Chinese materia medica       - 中药化学
pharmacy of Chinese materia medica       - 中药药剂学
identification of Chinese materia medica       - 中药鉴别学
prescriptions of Chinese materia medica       - 方剂学
Bencao Yanyi; Augmented Materia Medica                 - 本草衍义
Danxi Xinfa; Danxi's Mastery of Medicine                - 丹溪心法
Leigong Paozhi Lun; Master Lei's Discourse on Drug Processing             - 雷公炮炙论
Waike Zhengzong; Orthodox Manual of External Diseases               - 外科正宗
Michuan Yanke Longmu Lun; Nagajuna's Ophthalmology Secretly Handed Down             - 秘传眼科龙木论
Yi Guan; Key Link of Medicine                - 医贯
Chonglou Yuyao; Jade Key to the Secluded Chamber    - 重楼玉钥
Shennong Bencao Jing Jizhu; Variorum of Shennong's Classic of Materia Medica - 神农本草经集注
Chuanya Nei Bian; Internal Therapies of Folk Medicine    - 串雅内编
Tangtou Gejue; Recipes in Rhymes       - 汤头歌诀
Zhu Bing Yuan Hou Lun; General Treatise on Causes and Manifestations of All Diseases - 诸病源候论
Shiyi Xin Jian; Heart Mirror of Dietotherapy     - 食医心鉴
Zhouhou Beiji Fang; Handbook of Prescriptions for Emergency    - 肘后备急方
medical department for children        - 小方脉
acupuncture and moxibustion chart        - 明堂图
Mingyi Leian; Classified Case Records of Celebrated Physicians    - 名医类案
Huangdi Neijing; Inner Canon of Huangdi      - 黄帝内经
Lanshi Micang; Secret Book of Orchid Chamber     - 兰室秘藏
Houke Zhizhang; Guide Book for Laryngology      - 喉科指掌
Xuezheng Lun; On Blood Syndromes       - 血症论
Leigong Paozhi Lun; Master Lei's Discourse on Drug Processing             - 雷公炮炙论
Waike Zhengzong; Orthodox Manual of External Diseases               - 外科正宗
Michuan Yanke Longmu Lun; Nagajuna's Ophthalmology Secretly Handed Down             - 秘传眼科龙木论
Yi Guan; Key Link of Medicine                - 医贯
Chonglou Yuyao; Jade Key to the Secluded Chamber    - 重楼玉钥
Shennong Bencao Jing Jizhu; Variorum of Shennong's Classic of Materia Medica - 神农本草经集注
Chuanya Nei Bian; Internal Therapies of Folk Medicine    - 串雅内编
Tangtou Gejue; Recipes in Rhymes       - 汤头歌诀
Zhu Bing Yuan Hou Lun; General Treatise on Causes and Manifestations of All Diseases - 诸病源候论
Shiyi Xin Jian; Heart Mirror of Dietotherapy     - 食医心鉴
Zhouhou Beiji Fang; Handbook of Prescriptions for Emergency    - 肘后备急方
medical department for children        - 小方脉
acupuncture and moxibustion chart        - 明堂图
Mingyi Leian; Classified Case Records of Celebrated Physicians    - 名医类案
Huangdi Neijing; Inner Canon of Huangdi      - 黄帝内经
Lanshi Micang; Secret Book of Orchid Chamber     - 兰室秘藏
Houke Zhizhang; Guide Book for Laryngology      - 喉科指掌
Xuezheng Lun; On Blood Syndromes       - 血症论
Sanyin Ji Yi Bingzheng Fang Lun; Treatise on Three Categories of Pathogenic Factors - 三因极一病证方论
department of osteology         - 正骨科
department of incantation         - 禁科
Royal Drug Museum         - 御药院
Chinese medical literature         - 中医文献学
traditional Chinese medicine         - 中医学
traditional Chinese physician         - 中医师
traditional Chinese pharmacist         - 中药师
Chinese medical history         - 中国医学史
Bureau for Compounding         - 和剂局
Imperial Medical Academy         - 太医署
erudite for exorcism         - 咒禁博士
erudite for acupuncture         - 针博士
Xiaoer Yao Zheng Zhi Jue; Key to Therapeutics of Children's Diseases - 小儿药证直诀
Shi Yi De Xiao Fang; Effective Formulae Handed Down for Generations - 世医得效方
Youyou Jicheng; Complete Work on Children's Diseases     - 幼幼集成
China Association of Traditional Chinese Medicine and Pharmacy    - 中华中医药学会
State Administration of Traditional Chinese Medicine      - 国家中医药管理局
basic theory of traditional Chinese medicine      - 中医基础理论
internal medicine of traditional Chinese medicine      - 中医内科学
Chinese Association of the Integration of Traditional and Western Medicine  - 中国中西医结合学会
Zhiwu Mingshi Tukao; Textual Research on Reality and Titles of Plants - 植物名实图考
Taiping Shenghui Fang; Taiping Holy Prescriptions for Universal Relief   - 太平圣惠方
Bencao Gangmu Shiyi; Supplement to Compendium of Materia Medica   - 本草纲目拾遗
Xu Mingyi Leian; Supplement to Classified Case Records of Celebrated Physicians - 续名医类案
science of rehabilitation of traditional Chinese medicine     - 中医康复学
science of preservation of traditional Chinese medicine     - 中医养生学
science of nursery of [traditional] Chinese medicine     - 中医护理学
analysising drug form of Chinese materia medica     - 中药制剂分析
The World Federation of Acupuncture-Moxibustion Societies      - 世界针灸学会联合会
Waike Jingyao; Essence of External Diseases      - 外科精要
science of emergentology of traditional Chinese medicine     - 中医急诊学
Shisijing Fahui; Elucidation of Fourteen Channels      - 十四经发挥
Jufang Fahui; Elaboration of Bureau Prescription      - 局方发挥
Yixue Gangmu; Compendium of Medicine       - 医学纲目
Zhenjiu Dacheng; Compendium of Acu-moxibustion       - 针灸大成
Bencao Gangmu; Compendium of Materia Medica      - 本草纲目
Nan Jing; Classic of Questioning       - 难经
Lei Jing; Canon of Classification       - 类经
Bureau of Administration of Royal Medicinal Affairs     - 尚药局
Youyou Xin Shu; New Book of Pediatrics     - 幼幼新书
proctology of traditional Chinese medicine       - 中医肛肠科学
gynecology of traditional Chinese medicine       - 中医妇科学
otorhinolaryngology of traditional Chinese medicine       - 中医耳鼻喉科学
surgery of traditional Chinese medicine       - 中医外科学
diagnostics of traditional Chinese medicine       - 中医诊断学
science of processing Chinese materia medica      - 中药炮制学
①traditional Chinese medicine②traditional Chinese physician       - 中医
Shen Shi Yao Han; Precious Book of Ophthalmology    - 审视瑶函
Linzheng Zhinan Yi'an; Guide to Clinical Practice with Medical Records  - 临证指南医案
Huangdi Neijing Taisu; Grand Simplicity of Inner Canon of Huangdi  - 黄帝内经太素
Gezhi Yu Lun; Further Discourses on the Properties of Things  - 格致余论
Fu Qingzhu Nüke; Fu Qingzhu's Obstetrics and Gynecology    - 傅青主女科
Huihui Yaofang; Huihui Formularies        - 回回药方
Zhulinsi Nüke; Bamboo Forest Temple’s Secret on Women’s Diseases   - 竹林寺女科
Zhengzhi Zhunsheng; Standards for Diagnosis and Treatment     - 证治准绳
Xiyuan Lu; Records for Washing Away of Wrong Cases   - 洗冤录
Puji Fang; Prescriptions for Universal Relief      - 普济方
science of epidemic febrile disease of traditional Chinese medicine   - 温病学
sect of epidemic febrile diseases       - 温病学派
Renzhai Zhi Zhi Fang; Effective Recipes from Renzhai House   - 仁斋直指方
Beiji Qianjin Yao Fang; Essential Recipes for Emergent Use Worth A Thousand Gold - 备急千金要方
Furen Daquan Liang Fang; Complete Effective Prescriptions for Women's Diseases  - 妇人大全良方
Liu Juanzi Guiyi Fang; Liu Juanzi's Remedies Bequeathed by Ghosts  - 刘涓子鬼遗方
Chuanya Wai Bian; External Therapies of Folk Medicine    - 串雅外编
Yangke Xinde Ji; Experience Gained in Treating External Diseases   - 疡科心得集
Yifang Jijie; Collected Exegesis of Recipes      - 医方集解
Ruizhutang Jingyan Fang; Empirical Recipes from Auspicious Bamboo Hall   - 瑞竹堂经验方
department of miscellaneous diseases        - 杂医科
Rumen Shi Qin; Confucians' Duties for Parents     - 儒门事亲
Shanghan Mingli Lun; Concise Exposition on Cold Pathogenic Diseases   - 伤寒明理论
Jingyue Quanshu; Jingyue's Complete Works       - 景岳全书
Bencao Pinghui Jingyao; Collected Essential of Species of Materia Medica  - 本草品汇精要
Xuanming Lun Fang; Clear Synopsis on Recipes     - 宣明论方
Mai Jing; Pulse Classic        - 脉经
Sheng Ji Jing; Classic of Holy Benevolence     - 圣济经
ophthalmology of traditional Chinese medicine       - 中医眼科学
pediatrics of traditional Chinese medicine       - 中医儿科学
dermatology of traditional Chinese medicine       - 中医皮肤科学
save               - 济
save               - 省
savory               - 剪刀草
acupuncture points             - 腧穴
soreness              - 酸
manipulation              - 推拿
acid regurgitation             - 吞酸
inspection              - 望诊
gastric ulcer             - 胃溃疡
stomach ache             - 胃痛
positive elements             - 阳
dysphagia              - 噎嗝
intrathecal injection             - 鞘内注射
eliminating pathogens             - 祛邪
common cold             - 伤风
inquiry              - 问诊
regurgitation              - 反胃
atelectasis              - 肺不张
block therapy             - 封闭疗法
intra-articular injection             - 关节内注射
full pulse             - 洪脉
spermatorrhea              - 滑精
amnesia              - 健忘
tenosynovitis              - 腱鞘炎
numbness              - 麻
numbness              - 麻木
migraine              - 偏头痛
cupping therapy             - 拔火罐
diagnosis and treatment            - 辨证施治
pathogenesis              - 病机
asthma              - 喘症
cholelithiasis              - 胆石症
night sweat             - 盗汗
electro-acupuncture              - 电针
body fluid             - 津液
trismus              - 口噤
delirium              - 谵语
acupuncture anesthesia             - 针刺麻醉
acupuncturist              - 针灸医生
routine treatment             - 正治法
bronchial asthma             - 支气管哮喘
hemorrhoid              - 痔
apoplexy              - 中风
heaviness              - 重
strong heat             - 壮热
burning heat             - 灼热
receptacle               - 器
rape seed oil             - 油菜子油
red arsenic              - 红信石
red powder              - 红升丹
recover               - 恢
recover               - 愈
recover               - 痊
eliminating pathogens             - 祛邪
common cold             - 伤风
inquiry              - 问诊
regurgitation              - 反胃
atelectasis              - 肺不张
block therapy             - 封闭疗法
intra-articular injection             - 关节内注射
full pulse             - 洪脉
spermatorrhea              - 滑精
amnesia              - 健忘
tenosynovitis              - 腱鞘炎
numbness              - 麻
numbness              - 麻木
migraine              - 偏头痛
cupping therapy             - 拔火罐
diagnosis and treatment            - 辨证施治
pathogenesis              - 病机
asthma              - 喘症
cholelithiasis              - 胆石症
night sweat             - 盗汗
electro-acupuncture              - 电针
body fluid             - 津液
trismus              - 口噤
minium               - 国丹
minium               - 朱丹
menstrual period              - 月经期
minium               - 朱粉
minium               - 松丹
minium               - 红丹
minium               - 铅丹
minium               - 铅华
minium               - 铅黄
midline               - 中行
minium               - 陶丹
menstrual period              - 经期
minium               - 黄丹
melasma               - 化血胆
menstrual flow              - 经水
menstrual blood              - 经血
melissa               - 鼻血草
melon               - 果瓜
melon               - 甘瓜
melon               - 甜瓜
mildew               - 霉
menstruation               - 月信
menstruation               - 月水
menstruation               - 月经
menstruation               - 经水
military               - 军
milk               - 乳汁
sago               - 西谷米
safeguard               - 保
safeguard               - 护
Sakyamuni               - 释
Sanskrit               - 梵
salamander               - 杉木鱼
rhubarb               - 将军
rotation               - 捻转
rhubarb               - 峻
sex               - 色
shift               - 传变
sheath               - 鞘
shift               - 移
shift               - 转
sexual intercourse              - 入房
sheen               - 泽
shin               - 胻
sheep               - 羊
shine out              - 彰
shine               - 照
side               - 边
Shining Sea              - 照海
shell               - 壳
side-effect               - 副作用
running up              - 上竟
running nose              - 鼻流涕
rush               - 抢
rush               - 贲
rouse               - 奋
rheumatism               - 风湿病
ritual               - 文
rosemary               - 迷迭香
river               - 江
river               - 河
rhinitis               - 鼻炎
rhinoceros horn              - 低密
rhinoceros               - 犀
rickets               - 佝
ship               - 舶
rotator               - 旋转肌
rhubarb               - 川军
rouge               - 胭
rhubarb               - 火参
rouge               - 胭脂
rigid               - 强直
rock               - 摇
rhubarb               - 肤如
rhubarb               - 锦纹
rock               - 癌
rhubarb               - 黄良
tendon               - 肌腱
tea               - 茶
tangible               - 有形
tendon               - 腱
tenesmus               - 里急后重
tea [leaf]              - 茶叶
tense               - 紧张
teach               - 傅
Tear Hole              - 泪孔
tension               - 挛急
loss of visual acuity            - 视力减退
black morning glory [seed]            - 黑牵牛子
autoimmune hemolytic anemia (AIHA)            - 自身免疫性溶血性贫血
external treatment              - 外治
face               - 颜
fat               - 肪
face               - 颜面
fat               - 胖
fat               - 脂
exudation               - 流滋
exudation               - 渗出
exudation               - 渗出物
father               - 父
facial paralysis              - 面瘫
fatigue               - 倦怠
fatigue               - 劳累
facial complexion              - 面色
fatigue               - 疲乏
fatigue               - 疲倦
facing               - 对
fatigue               - 疲劳
failing to close             - 久不收口
expel               - 驱逐
extreme               - 极
expel               - 驱除
expel wind              - 驱风
extremities               - 四肢
extremity               - 端
eyelash               - 睫
eyelash               - 睫毛
experiment               - 验
exuberance               - 亢盛
exuberant               - 彧
eyelid               - 目胞
eyelid               - 目裹
explore               - 探
eyelid               - 眼睑
eyelid               - 眼胞
fatigue               - 罢
failure               - 不
old               - 陈
orange               - 橙
orchid               - 兰
old tea              - 陈茗
otolith               - 鱼首石
ottelia               - 龙舌草
oven               - 炉
otter               - 獭
nosebleed               - 鼻衄血
oak               - 橡
nostril               - 畜门
oak bark              - 橡木皮
nostril               - 鼻孔
oar               - 桡
oar               - 舟楫
obesity               - 形体肥胖
not               - 不
non-glutinous rice              - 大米
not sound              - 不秘
offspring               - 昆
non-glutinous rice              - 粳米
nongonococcal urethritis (NGU)             - 非淋菌性尿道炎
oil               - 油
orchitis               - 睾丸炎
old tea              - 陈茶
one-sided               - 偏
order               - 秩
oldenlandia               - 白花蛇舌草
onion               - 洋葱
orpiment               - 昆仑黄
onion               - 洋葱头
oreas               - 牛毛七
orpiment               - 雌黄
onion               - 玉葱
oreocharis               - 小岩白菜
onion               - 葱头
only               - 才
only               - 甫
organ               - 器
onset               - 初
organ               - 器官
onset               - 初起
not yet              - 未
not               - 莫
observe               - 司
oil rape              - 芸
not               - 非
oil rape              - 青菜
oldenlandia               - 目目生珠草
oldenlandia               - 矮脚白花蛇利草
Central Pivot              - 中枢
abandon               - 舍
central nervous system             - 中枢神经系统
Central Hole              - 中空
chain               - 链
chalk               - 白垩
chalky               - 如积粉
chamber               - 室
chamomile               - 母菊
ceramic               - 瓷
change               - 换
cerebellum               - 小脑
cerebral palsy              - 大脑性瘫痪
cauldron               - 釜
cauliflower               - 椰菜花
cauliflower               - 花椰菜
cauliflower               - 花茎甘蓝
cauliflower               - 花菜
cauliflower               - 青花菜\Q{??}
cell membrane              - 细胞膜
cause of disease             - 发病原因
[body] hair              - 毛
cause               - 成因
celosia               - 青箱
celosia               - 青葙
throat               - 颃
cementum               - 齿垩质
cauterization               - 烙法
centipeda               - 鹅不食草
centaurea               - 苦蒿
centipede               - 千足
centaury               - 埃蕾
cautions               - 注意事项
centipede               - 蜈
centella               - 崩大碗
centipede               - 蜈蚣
centella               - 积雪草
centella               - 落得打
abalone shell              - 九孔决明
cave               - 洞
centella               - 雷公根
cavity               - 腔
abalone shell              - 石决明
celery               - 洋芹菜
abalone               - 鲍
cerebral hemorrhage              - 脑出血
catch cold              - 受凉
catch               - 着
glechoma               - 连钱草
catch cold              - 着凉
renal failure              - 肾衰竭
respiration               - 呼吸
rib               - 肋骨
respiratory failure              - 呼吸衰竭
respiratory tract              - 息道
render               - 烊化
respond to              - 应
pyuria               - 脓尿
radermachera               - 菜豆树
radial artery              - 桡动脉
radish               - 土酥
radish               - 罗服
radish               - 莱菔
quaff               - 顿服
radish               - 菜头
quail               - 鹌
radish               - 萝
quail               - 鹌鹑
quantity               - 分量
radish               - 萝卜
quantity               - 量
quell               - 伐
quick               - 疾
quick               - 速
radish               - 萝白
radish               - 萝菔
radius               - 桡骨
quicken the blood             - 活血
radius               - 辅骨
rat               - 鼠
purslane               - 马齿苋
quiver               - 振
rabbit               - 兔
rabid               - 狾
rabid               - 猘
rabies               - 狂犬病
pupil               - 瞳仁
purslane               - 马齿菜
pyelonephritis               - 肾盂肾炎
pupil               - 瞳孔
pupil               - 瞳神
pylorus               - 幽门
pyrite               - 石髓铅
pyrite               - 自然铜
pyrola               - 鹿衔草
pyrolusite               - 无名异
python               - 蚺
psilopeganum               - 山麻黄
pull               - 扯
pull               - 拉
intermittent               - 时时
insufferable               - 不可忍
intermittent               - 闰
insufficiency               - 不足
injury               - 损伤
interstices               - 腠理
ink               - 墨
insufficient               - 不足
ink [NID]              - 墨
ink               - 香墨
insufflation               - 吹药
internal damage              - 内伤
intestinal obstruction              - 肠梗阻
intangible               - 无形
Inner Court              - 内庭
indiscriminate use              - 概用
inflammatory               - 炎性的
inhibited               - 不利
inhibited               - 不畅
infection               - 传染
infection               - 感染
inferior               - 卑
insomnia               - 不得眠
insomnia               - 不眠
infertility               - 不妊
insomnia               - 不睡
infertility               - 不孕
infertility               - 女性不孕症
insomnia               - 失眠
Infertility               - 绝孕
insomnia               - 无眠
inspect               - 审
inspect               - 察
interlocking               - 错
intermediary               - 间
inhibition               - 不利
inflate               - 膨
indistinct               - 渺
inflation               - 膨胀
indeed               - 审
indocalamus               - 箬
indented               - 凹
influenza               - 流行性感冒
index finger              - 手食指
index finger              - 食指
indulge               - 纵
infuse               - 泡
ingenuity               - 伎
ingenuity               - 巧
ingredient               - 组成
wood ear              - 黑木耳
without               - 无
withstand               - 耐
wooden tongue              - 木舌
Winter Solstice              - 冬至
wind evil              - 风邪
wisdom               - 智
wisdom tooth              - 智齿
wisdom tooth              - 真牙
Wrist Bone              - 腕骨
write               - 撰
wok               - 锅
writing               - 文
writings               - 书
wolf               - 狼
woodworm               - 蠡
wrong               - 忒
wrong               - 错
woman               - 女
woman               - 妇
woman               - 妇人
womb               - 女子胞
work               - 工
womb               - 子宫
womb               - 胞
womb               - 胞宫
wild celery              - 香芹
wild soybean              - 马料豆
with               - 与
with               - 从
with               - 挟
with cold              - 挟寒
with fire              - 挟火
wondrous               - 妙
with heat              - 挟热
window               - 窗
withered               - 悴
wild poppy              - 野罂粟
wing               - 翅
wing               - 翼
willow               - 柳
winnow               - 簸
willow leaf              - 柳叶
wind-heat               - 风热
wind patterns              - 风的证候
winnow               - 簸扬
winter               - 冬
wick               - 炷
weep               - 泣
whiskers               - 须
black morning glory [seed]            - 黑牵牛子
autoimmune hemolytic anemia (AIHA)            - 自身免疫性溶血性贫血
yin and yang            - 阴阳
blood stasis             - 瘀血
aphasia              - 失语
acupuncture points             - 腧穴
soreness              - 酸
manipulation              - 推拿
acid regurgitation             - 吞酸
inspection              - 望诊
gastric ulcer             - 胃溃疡
stomach ache             - 胃痛
positive elements             - 阳
dysphagia              - 噎嗝
intrathecal injection             - 鞘内注射
eliminating pathogens             - 祛邪
common cold             - 伤风
inquiry              - 问诊
regurgitation              - 反胃
atelectasis              - 肺不张
block therapy             - 封闭疗法
intra-articular injection             - 关节内注射
full pulse             - 洪脉
spermatorrhea              - 滑精
amnesia              - 健忘
tenosynovitis              - 腱鞘炎
numbness              - 麻
numbness              - 麻木
migraine              - 偏头痛
cupping therapy             - 拔火罐
diagnosis and treatment            - 辨证施治
pathogenesis              - 病机
asthma              - 喘症
cholelithiasis              - 胆石症
night sweat             - 盗汗
electro-acupuncture              - 电针
body fluid             - 津液
trismus              - 口噤
eyebrow               - 眉
Eyebrow               - 眉头
feces               - 粪
faint               - 晕倒
faint               - 晕厥
far-reaching               - 羕
feeble               - 无力
farsightedness               - 能远怯近
feel the pulse             - 切脉
feel               - 扪
feel               - 捻
feel               - 摸
bloodletting               - 出血
boar               - 豭
bloodletting               - 放血
board               - 板
bone pain              - 骨痛
boat               - 舟
boat               - 舟楫
bone               - 骸
boat               - 船
bobbing               - 厥厥
blood stasis              - 血瘀
blood pressure              - 血压
blood vessels              - 血管
blood sugar              - 血糖
bloody stool              - 大便下血
bloody stool              - 大便出血
bloody stool              - 血便
blood vessel              - 血脉
boil               - 沸
boil               - 煨水
boil               - 熬
blow               - 吹气
boschniakia               - 草苁蓉
blind               - 瞎
blindness               - 视觉缺失
bladder disease              - 膀胱病
blink               - 眨
blink               - 瞬
blinking               - 目眨
blistering               - 发泡
blistering               - 提泡
blistering               - 起泡
bloating               - 饱胀
block               - 拦
blood               - 血液
blood circulation              - 血液循环
blood thirst              - 血渴
blood heat              - 血热
blood loss              - 出血
bleed               - 放血
bleeding               - 出血
bleeding wound              - 创伤出血
bleeding               - 流血
black eye              - 眼胞瘀痛
black tea              - 红茶
blemish               - 疵
blepharoptosis               - 睑下垂
blood loss              - 失血
bicuspids               - 二尖齿
black soy              - 豆黄
saposhnikovia               - 屏风
saffron               - 藏红花
saposhnikovia               - 防风
saffron               - 西红花
salamander               - 羌活鱼
sag               - 垂
salience               - 微甚
saposhnikovia               - 风肉
sagacious               - 圣
salpingitis               - 输卵管炎
salsola               - 猪毛菜
salt               - 盐
scorpion               - 全虫
salt               - 细盐
scapula               - 肩胛
salt               - 食盐
scorpion               - 干蝎
scar               - 疤瘌
scorpion               - 蝎
scar               - 瘌
schistosomiasis               - 血吸虫病
scald               - 烫伤
scale               - 鳞
schizonepeta               - 荆芥
rouse               - 振
rorippa               - 塘葛菜
rorippa               - 江剪刀菜
rorippa               - 田葛菜
rorippa               - 辣米菜
royal jelly              - 乳浆
rust               - 铁锈
rustle               - 簌
rub               - 搽
rub               - 摩
rub               - 擦
S               - 天干
rub               - 磨
S1               - 甲
S10               - 癸
rose               - 徘徊花
rubbing               - 揉法
rubella               - 德国麻疹
rose               - 湖花
S2               - 乙
rose               - 玫
S3               - 丙
S4               - 丁
scar               - 瘢
sargassum               - 海藻
scar               - 瘢痕
song               - 歌
spasm               - 痉挛
soot               - 炱
spatula               - 锅铲
sour               - 馊
spearmint               - 香花菜
special               - 异
spinach               - 菠
spinach               - 菠斯菜
source point              - 原穴
special               - 殊
spinach               - 菠棱
source               - 源
special               - 特
spinach               - 菠棱菜
spinach               - 菠菜
soybean milk              - 豆腐浆
soleus muscle              - 比目鱼肌
snoring               - 打呼
sore throat              - 咽喉痛
soybean               - 黄豆
solid               - 板
snoring               - 打鼾
solidago               - 一枝黄花
soliloquy               - 独语
snoring               - 鼻鼾
snow               - 雪
sore throat              - 喉咙痛
sore throat              - 喉痛
sore               - 疮疡
sore               - 痍
soreness               - 酸痛
banyan               - 榕
baeckea               - 岗松
bag               - 兜
bar               - 关上
baking               - 热烘
bear               - 承
bear               - 熊
barbarian               - 蛮
bald               - 秃
beard               - 须
bark               - 树皮
axillary               - 腋窝
ash [bark]              - 蜡树皮
axillary vein              - 腋静脉
at               - 于
azoospermia               - 无精子
At the Spring             - 在泉
azurite               - 扁青
sag               - 垂
salience               - 微甚
saposhnikovia               - 风肉
sagacious               - 圣
salpingitis               - 输卵管炎
salsola               - 猪毛菜
salt               - 盐
scorpion               - 全虫
salt               - 细盐
scapula               - 肩胛
salt               - 食盐
scorpion               - 干蝎
scar               - 疤瘌
scorpion               - 蝎
scar               - 瘌
schistosomiasis               - 血吸虫病
scald               - 烫伤
scale               - 鳞
schizonepeta               - 荆芥
rouse               - 振
rorippa               - 塘葛菜
rorippa               - 江剪刀菜
