response_number,author,title,other_posts,click_number,first_post,response_time
0,puchenwater,七大坏习惯为你引来乳腺疾病,,197,乳房是男人评判一个女人的美的标准，也是女人哺乳下一代的重要器官。女性朋友的乳房也是很容易生病的，因为它很美丽也很脆弱。女性朋友的一些坏习惯，就有可能让自己乳腺疾病上身。那么，哪些坏习惯容易导致乳腺疾病呢？下面来听听白云区妇科医院专家的相关解答。　　哪些坏习惯容易导致乳腺疾病呢？白云区妇科医院专家指出，有以下七大“杀手”：　　一、吸烟、喝酒女性乳腺癌风险高。如果女人常在香烟、酒精中寻找快感，就应随时警惕乳腺癌的发生。有资料表示，吸烟史超过10年的女性患乳腺癌的几率是其他女性的3倍以上；每日饮酒1杯或1杯以上者，乳腺癌的危险性比很少饮酒者增高45%以上。　　二、高脂饮食成乳房“杀手”。对于长期坐在办公室工作的白领而言，坐多动少、缺乏锻炼、缺乏阳光沐浴的身体随时让癌症有机可乘。久坐少动不仅容易诱发乳房疾病，也会引起一系列如阴道炎、卵巢病变等女性疾 病，尤需注意。　　三、坏情绪毁灭乳房健康。工作压力大的女性容易内分泌失调，而乳房周围遍布淋巴组织，当代谢失调时，会导致毒素堆积，导致乳腺疾病。性格内向、精神长期抑郁、早期生活不幸福是导致癌症的重要因素。都市年轻女性面临激烈的竞争压力，精神长期处于应激紧张状态，导致情绪上的不稳定、不平和。这些精神因素与不良生活 工作方式加在一起对乳房造成进一步的伤害。　　四、单身族、丁克族危机四伏。月经初潮早、绝经晚是乳腺癌最主要的两个危险因素。月经初潮年龄小于12岁与大于17岁相比，乳腺癌发生的相对危险增加2.2倍。闭经年龄大于55岁比小于45岁者发生乳腺癌的危险性增加1倍。除此以外，单身女性发生乳腺癌的危险为已婚者的2倍。丁克族以及头胎生育在30岁以上等不利因素也会影响乳房健康。　　五、人工流产易诱发乳腺小叶增生。有统计资料显示，乳腺疾病由人工流产诱发的占40%左右。专家表示，人工流产是强行中断妊娠的生理变化过程，女性体内激素水平骤然下降，乳腺刚开始发育，就被急促中断，导致乳房复原不完全，容易诱发乳腺小叶增生。个别避孕药的激素成分也会导致这个问题。　　六、束身内衣就像给乳房“上刑”。过多的蕾丝或尼龙材质容易引起皮肤过敏，脱落的细小线头甚至会进入乳头突起，造成泌乳障碍或形成乳腺炎。同样，束身内衣就像给乳房“上刑”，久而久之，会造成乳房的血运不畅和压迫性疼痛，甚至导致乳腺增生性疾病。　　七、性爱动作过猛伤害乳房。女人的乳房其实很娇气，一次富有激情的性爱就容易使它受伤。在性生活中，如果男性行为过激甚至粗暴，不仅会使女性感到不适，还会削弱其性兴奋程度。而较长时间的压迫，还可能影响乳房的血液循环。　　通过以上的相关介绍，您知道哪些坏习惯容易导致乳腺疾病了吗？白云区妇科医院专家提醒广大女性朋友，在平常一定要养成良好的生活习惯，让自己远离乳腺疾病。如果患有乳腺疾病，一定要及时到正规医院进行治疗。　　http://www.gzmalai.com/Html/Art/251/23645.html,06-22 16:34
11,我真是笑了,细数房祖名《春暖花开》四大泪点(贴图),"回复:
催泪场景二：　　女儿假装出国留学，假冒男友送她去机场，劝服了生病的爸爸留在家中。两人走后，爸爸抱着女儿的玩具在家中愣了一会儿，突然把玩具放回女儿的卧室，急速赶到门外，却已不见女儿踪影。爸爸独自一人站在家门口的巷子里，出了一会儿神，然后低头慢慢走回屋里，抑制不住哭起来。　　观感：话说我是看到这个截图的地儿，就开始鼻子酸溜溜了。不为别的，我自己也是离家一族，话说我家老爷子每次送我走之后，也是这样儿，我妈和我私底下透露过无数回了。共鸣，太有共鸣了！泪点共鸣！　　http://img.int800.com/web/upload/photos/4508/20125229283210图片2.jpg

回复:
催泪场景三：　　为了表现出在英国留学的效果，冒牌男友和女儿决定录制“伪英国视频”，由冒牌男友带给已经病重入院的爸爸看。爸爸看到视频后，悲喜交加。　　观感：话说刚看到这几位草台班子用佳能DV录视频，还煞有介事的拿出脚本时，我一度觉得这是个笑点。甚至连冒牌男友极力纠正女儿的京腔英语，也让我觉得有些恶搞。可是当卧病在床的爸爸看到这段·····背景明显很假的视频，而忽悲忽喜时，我突然的悲从中来。或许爸爸不会计较女儿是不是真的在英国，只要看到女儿开心的笑，对于他这个垂暮的老人来说，就是最大的欣慰。　　http://img.int800.com/web/upload/photos/4508/201252292836807图片3.jpg

回复:
http://img.int800.com/web/upload/photos/4508/201252292840276图片4.jpg

回复:
用佳能DV也能拍出好的电影

",382,细数房祖名《春暖花开》四大泪点　　不敢说期待这部《春暖花开》有多久，不是什么大片儿，只不过是国内某视频网站制作的一个微电影系列，但是这两年微电影太火了，又加上很多大导演也参与其中，于是国内的微电影也越做越好。从前年的《11°青春》系列到去年的《幸福59厘米》，再到今年的《美好2012》，所以大家也越来越喜欢关注微电影这个领域。　　《春暖花开》就是今年《美好2012》系列的开篇作，刚上线直接飙升到优酷首页外加24小时点击量排行榜TOP10。　　看过片子之后的第一反应有点迟钝，没想过微电影也能把内容拍得如此丰富，期间还好几次酸了鼻子、湿了眼窝。　　片子的大概内容如果放在大荧幕可能会有些俗套，一个病重的爸爸，一个孝顺的女儿，一个内心善良的奋斗青年，以及围在他们周围的一系列或五光十色或暗无天日却都一样内心单纯的人。　　催泪场景一：　　如果只看这个截屏画面，你可能理解不了这样一张普通的全家福，泪点从何而来。而实际上这张“全家福”是一张肺癌晚期的父亲+瞒着父亲放弃了爱丁堡留学机会的女儿+为了让老爷子开心临时从家政公司租来的冒牌男友。女儿假装出国即将远行，假冒男友要代替女儿照顾癌症晚期的父亲。对于时刻面临死神威胁的父亲来说，这或许是最后一张全家福，对着镜头，父亲的表情或许有些凝重，还有些面对离别的忧伤。,05-24 09:22
2,脉活口碑好,mmm精索静脉曲张特效药能彻底治好吗精索静脉曲张吃什么药?,"回复:
精索静脉曲张是指精索静脉蔓状静脉丛，因各种原因引起静脉血流回流不畅或静脉瓣损坏引起的血液倒流，而形成局部静脉扩张、迂回区长的病理现象。临床表现多为阴囊坠涨，静脉怒张，弯曲如蚯蚓盘曲成团，活动后症状加重。本病好发于青壮年。　　精索静脉曲张，一般好发于左侧，是精索内蔓状静脉丛因血液回流不畅，阻塞络道，以致局部静脉扩张、弯曲、伸长。轻者无任何症状，重者由于静脉瘀血扩张而刺激精索神经，使阴囊胀大、下坠和疼痛，睾丸或小腹抽痛，并向会阴及腹股沟等处放散，严重者会影响生育，必须及时治疗。　　精索静脉曲张是西医的叫法，中医上叫：气血不畅   连带着睾丸 肛门周围坠涨 不舒服，很多患者的症状，表现会有所转移，专业些说叫：游走性的胀痛。　　中医文献虽无此名，但从临床表现属筋瘤范畴。认为其病因多属于肝血亏虚，肾气不足，脉络失于濡养；或久立之人，气血流行不畅，导致瘀血凝滞，阻于脉络，使精索静脉状如蚯蚓，阴囊坠胀不适。或瘀毒蕴结，肾亏精弱所致。治疗原则为化瘀通络、益肾填精，疏肝散结，清热利湿。 　　采用纯中药治疗精索静脉曲张，中医详细问诊，辨证论治，针对患者具体病症用药治疗，因症施治，因病施药，一人一方对症治疗，标本兼治，治愈后，注意饮食 作息，保持良好的生活方式，不会复发。 疏肝散结，清热利湿　　更多资料加QQ1368599578 电话：13733811294或者　　查询http://blog.sina.com.cn/caoshimanqianzhongyao　　淘宝平台：http://shop59751123.taobao.com/ 看下，希望对患者病情有所帮助。　　　　治疗精索静脉曲张，大多数患者初期选择抗生素、手术和物理疗法为主，初期效果明显，后期疗效逐渐不理想，有的患者甚至多种抗生素长时间大量应用，这样不仅导致细菌耐药，和肝肾功能损害，还会出现全身乏力，头晕等症状。患者钱花了很多，病没有治愈，弯路走了很多，没有取得好的结果。由于长时间没有治愈，使病程迁延，甚至症状比以前更加严重，患者不仅经济，精神，心理上出现负担和压力，而且还给工作和家庭幸福带来很大的影响。在此建议患者，创伤性的治疗方案应用时请慎重考虑，否则，会造成泌尿生殖系统不可恢复的创伤，给以后的治疗增加难度。

",571,精索静脉曲张特效药能彻底治好吗精索静脉曲张吃什么药？我有左侧精索静脉曲张?2.3mm?右侧?有点炎症，大夫说的要手术，但我问了网络大夫说不用，用金蝉衣、煮开、包裹、热敷、先看看、一般不用手术、这个病半年前可能就有了，只是用手摸了摸有疙瘩，没咋注意，半年后，一累可能就疼，我就按这个方法，我感觉用了得有半年了到现在，还是不见好，我就郁了闷了，到三个月的时候不见好，我就咨询网络医生，医生说你坚持多用几个月，哎真是听信了他的话，还得我也没少费事，也没好。　　精索静脉曲张特效药能彻底治好吗精索静脉曲张吃什么药？这不，后来还是我老乡给我说让我试试那个脉活，他说效果很不错，他姨夫就用的这药治好了，我问他去哪买，他说在网上订购就行，我回去在网上订购了二个疗程，二个疗程过后，我的精神静脉曲张不见啦！太感谢我的老乡给我介绍的脉活啦。　　精索静脉曲张特效药能彻底治好吗精索静脉曲张吃什么药？精索静脉曲张是青壮年男性中比较常见的疾病，对于这种生殖器官疾病，很多人关心的都是会不会影响到生育。这个问题也是我们的专家受到最多提问的，因此这里就精索静脉曲张对生育的影响做个简单的介绍。　　1、精索静脉曲张时精索静脉内压力增高，氧和营养物质缺乏，影响代谢产物的清除，从而影响精子发生和成熟。　　2、精索静脉曲张时由于精索静脉内血液淤滞，可以引起阴囊内温度增高，睾丸温度可升高1℃～2℃，温度持续长期增高，可影响睾丸产生精子，导致无精子症和少精子症。　　3、精索静脉曲张易损害睾丸的间质细胞，减少了睾酮分泌，外周血睾酮含量也减少，而血促卵胞生成激素(FSH)及间质细胞刺激素(ICSH)增高，内分泌紊乱，以至干扰了精子的发生和成熟。　　可见，精索静脉曲张对生育的影响是很大的，很多不孕不育的原因都可能是精索静脉曲张的影响。精索静脉曲张的症状还是比较容易早期发现的，各位患者一定要及时去医院进行检查和治疗。　　纯中药的脉活修复液采用深山野生药材，科学配伍，零距离用药，药物全面协同作用，药力持久释放，改变血管流变学指标和血管壁组织功能障碍，畅通静脉分支血流，恢复病变血管组织代谢机制，建立正常的组织供养功能，全面提高血管组织细胞免疫力，从根本上解决了复发的问题。　　这个社会上充斥的到处都是喧嚣与不知所谓的烦恼忧愁，到处都是竞争，到处都是明枪暗箭，人要想很精彩的活在这世间，就必须不停的奔跑，不停的冲刺，不停的寻找。看着蜗居，看着北京爱情故事，看着蚁族的奋斗，看着这各式各样反应社会现实与美好爱情题材的电视剧，人们不尽汗颜，活着真累。然而就是因为压力，因为心很累，我们有时必须懂得停下脚步，好好调整自己，好好放松一下自己，可就在这时倍感压力的男人们竟然发现自己却被精索静脉曲张缠身，无言的痛楚不尽折磨着男人，打击着男人看似强大却已经千疮百孔的心，到底男人要怎么做才能彻底摆脱这无端的烦恼呢？怎样能彻底清除精索静脉曲张再不复发呢？今天你有幸看到这一信息的时候证明你离治愈精索静脉曲张又进了一步，这绝不只是简单的一条广告，这是男人在迷茫的治疗精索静脉曲张路上的一线曙光，这是男人治愈精索静脉曲张获得幸福的必选之路，无数精索静脉曲张治愈病例已经证实了这一说法。然而谁都强求不了你，之后的路就看你是如何选择，如何走了。,05-24 17:08
1,回到那天以前,现在好担心我妈妈，一天连续两次放射诊疗辐射会不会大,,330,事情描述：　　我妈妈最近右侧乳房附近、同侧的腋窝下、及背后肩胛骨这一块痛得厉害。以前妈妈摔过，所以她就说是老毛病。但我看她擦药酒没什么用，就怕是乳腺或其他问题，坚持带她去医院。　　第一天做了乳腺B超、血检查、尿检查，排除是乳腺问题。乳腺科的让我找内科，内科那个专家，挺老的了，让第二天空腹去检查肝胆和胸透。所以第二天我妈妈做了肝胆脾胰B超检查、胸透。那专家说昨天的血检没查肝功能，又查了个肝功能。　　胸部正位片出来说左上肺见一结节状阴影，边缘清，直径约0.9cm，密度均匀。纵膈未见增宽及移位。心影大小、形态在正常范围内。双膈面光滑，双肋膈角锐利。那医生说：“肺有阴影。”我说那说明什么病呢？他说：“这个我不能跟你说，报告上也说左上肺结节影，性状待查。” 然后我问他：“左边肺有阴影，那我妈妈是右侧这边痛，有什么关联吗？”他马上让我在去做个胸椎拍片。我当时一心想查出什么病，就答应做。然后在做完胸透不到两小时，又拍了胸椎的片。胸椎正位片的结果是：胸椎生理曲度存在，T3-7骨质增生，各椎间隙未见变窄，余椎体及附件未见异常。后边意见写着：胸椎推行性变。然后医生开了这些药：腺苷钴胺片、舒筋胶囊、藤黄健骨片、根痛平胶囊。　　求助：　　我妈妈晚上吃药，半夜吐得很厉害，全是黄黄的水，我一开始以为是吐血了，那颜色很接近。然后我认真看了各种药的说明，除了腺苷钴胺片，其余算中成药，都是治骨痛的。腺苷钴胺片的说明：主要用于巨幼红细胞性贫血、营养不良性贫血等。也可用于营养性疾患以及放射线和药物引起的白细胞减少症的辅助治疗。　　我妈妈现在不吃这些药了。现在我非常担心，一天之内（间隔约2小时）我妈妈拍了胸透、胸椎拍片，辐射会不会太大了？是放射线超标引起呕吐吗？其他中成药应该没问题。这个腺苷钴胺片还要不要吃呢。我回去问过那个医生，他说要吃，如果还吐就再回医院，打针。那个医生多问两句也不理我，就说吃药。　　求解答：放射线太多是不是会导致白细胞下降？是不是要吃什么药来补救呢？这个腺苷钴胺片是不是要吃？（我妈现在停药了）　　我的心声：　　其实做完胸腺、肝胆B超、胸透都没什么的话，就基本可以确定是骨头的问题。第一天看病时我也提过我妈妈摔过的。没必要再让我做胸椎拍片。他当时要是提醒我一下这个放射线的危害，我就不用现在内疚得快死掉。胸腺是很重要的免疫器官，两次拍怕片辐射是不是太大了？我妈妈本来身体好好的，就是一个老年人都有的骨质增生问题，这个靠药酒慢慢来治。是我让我妈妈留下非常大的隐患。我内疚死了。　　《心术》里有句话：没有仁心，就不可能成为好医生。如果当时医生稍微提醒我一下，我现在就不是生活在地狱里了。看着我妈妈，我就觉得她体力变得不好了。她稍微有些头晕、失眠，我就好担心。第二次拍片时她说不拍的，我为什么不听她的话？我害死她了。 让她留在老家就没有这种事啦。  　　我宁愿给医生红包，只要他能从我的角度，只做有必要的检查，那些没必要又有伤害的检查能提醒我。现在一切都晚了。　　提醒：　　大家去医院看病一定要多问，医生不会主动提醒你各种坏处的。每项检查最好问问是不是必要的。像乳腺科的血检和尿检，结果还没出来呢，医生直接看B超的结果就说没问题了。那还让我做不是多余吗？现在医院真的是二话不说先检查一大堆。　　写的乱七八糟，谢谢耐心看完。有懂的人就帮帮我吧，我觉得自己快不能活了！,06-04 13:07
1,澜渊清歌,科技宅男の百度网盘逆袭(转载),"回复:
但这样依靠个人就能改变世界的能力不是每个人都能拥有的，他们那天马行空的创造力、坚定不移的执行力和上帝给予的机会的是可遇不可求的，所以科技宅男虽多，但取得巨大成功的却没有几个！难道就没有方法让我们也跟他们一样取得成功的办法了吗？只能一辈子跪添高帅富吗？不，只要科技宅男们联合起来，集思广益。古语说“三个臭皮匠顶个诸葛亮”嘛！现在不需要再纠结、郁闷和无奈了，有了百度网盘这个神器就可以随时跟朋友分享信息，免费、而且扩充无上限，让我们不需要巨大的启动资金来购入大容量硬盘。　　这不是等于活生生送给我们一个发财的机会嘛，这个便宜必须要占啊！如果你也想要加入我们的“逆袭”的队伍，只需要用百度搜索“百度网盘”，打开第一个网址，点击“申请公测”，领取邀请码注册登录就可以拥有你的百度网盘。然后你就可以看到我们的分享，那时候就不单单是对“高帅富”逆袭这么简单，百度网盘这个“私密共享、完全公开”可以让全世界的宅男们相互交流、取长补短，说不定还可以促进科技技术分享全球化，彻底消除技术垄断！

",202,科技宅男の百度网盘逆袭　　宅男在大家的心目中一直是痴迷于游戏和女神的一个人群，他们整日的不修边幅，不懂社会交际、不会和异性相处，是典型的“屌丝”代表！然而最近宅男中出现了一个特别的群体——“科技宅男”，他们虽然还是不太修边幅，但是他们用对于科技的那种热情完全可以逆袭高帅富了。　　热播美剧《生活大爆炸》中的科技宅男也让我们看到了他们的魅力所在，他们运用自己的专业知识创造出一个又一个划时代的产品。这些科技宅男在现实中的杰出代表有比尔盖茨、乔布斯、马克扎克伯格等等，他们凭借对科技的疯狂和执着，取得了超越高帅富的成绩，抱得“白富美”回家，达成了一次又一次对高帅富的逆袭！,06-01 16:34
2,御博医,男性健康体检都包含哪些项目？,"回复:
早泄常见的治疗方法主要有：手术治疗、食疗、药物治疗、行为治疗、心理治疗，而一般是不推荐手术治疗的，因为风险性太大了，早泄最好的治疗方法就是进行综合性的治疗，首先在药物选择方面，一定要谨慎，现在有很多壮阳药宣传能治疗早泄，但是我们从早泄的病因来看，并不是如此，而且壮阳药的副作用非常大，最好不要选择这样的产品。【悍马威尼士】就是这样的产品。大家可以上他们的官网http://www.winishi.com上看看，真的挺不错的hktbrw

回复:
婚后平淡的生活更让我像患了“婚姻疲惫症”似的，久违的房事再也提不起来劲了，老婆也知道我是有心无利，五六年来，我们的姓生活渐渐蒙上了荫影，一次在找资料的时候无意中浏览了【悍马威尼士】这个网站，打电话确定了疗效和保证后，就订购了2个疗程试试，连续使用几个月后，姓能利彻底被激活了，姓爱时间延长到25分钟以上了，效果真的很不错，看到老婆满脸的红晕和娇喘，我们的生活又充满了更多的情趣，谢谢威尼士这个产品为我们带来了幸福。大家可以上他们的官网http://www.winishi.com上看看，真的挺不错的wwktul

",790,男性健康体检都包含哪些项目？男性尤其是到中年，应该给自己规定一个体检的日期。做到定期体检的，这样才能更好的保护自己的身体，每年进行健康体检，及早发现身体的异常，早发现，早诊断，早治疗，更能保持一个健康的身体。那么，男性健康体检都包含哪些项目呢？　　　　　　一、实验室体检  尿液体检、前列腺液培养和常规体检、尿道分泌物体检、血PSA体检、精液常规体检、精子功能体检、精浆的生化体检、精子的免疫学体检、男性生殖内分泌体检、男生殖系活组织体检、血抑制素B；　　　　　　二、 海绵体血管活性物质注射；　　　　　　三、阴茎海绵体造影术；　　　　　　四、阴茎夜间勃起试验体检；　　　　　　五、男性生殖系X线体检  X线平片、尿道造影体检；　　　　　　六、男科超声体检  前列腺的超声体检、精囊腺病变、阴囊内容物；　　　　　　七、尿流率测定；　　　　　　八、 男科计算器体层扫描  前列腺、精囊腺、睾丸发育异常；　　　　　　温馨提示：以上是关于“男性健康体检都包含哪些项目”的介绍，专家提醒男性朋友们，健康是革命的本钱，在这个竞争激烈的时代，我们更看重健康。无论是男是女健康都是极其重要。有些疾病在发现之时已为时已晚，让我们后悔莫急。如果您想了解更多的相关内容，请联系专家！　　　　　　南昌现代生殖医院为您服务（007）：　　　　　　QQ咨询：800019095  电话：0791-88600399　　　　　　医院地址：南昌市二七北路513号（阳光假日酒店对面）　　　　　　交通指南：从火车站乘坐18路到阳光假日酒店下，或乘5、11、202、208、209、28路到贤士二路口（肯德基）下，立交桥往左50米。,06-06 05:20
0,嘦123,男性不育注意检查7个项目,,247,一、 实验室检查　　南京男科医院专家介绍，除将精液检查列为必查项目外，其余要视患者具体情况进行选择：　　1、精液分析：此举有助于了解男性生育力，是不育症的必查项且，检查内容包括色、量、液化时间，酸碱度、精子计数、活动力、存活率及形态。　　2、体外异种授精实验：即使常规精液分析完全正常，但有时仍不能完全代表精子的授精能力。体外异种授精实验可更准确地估计精子的受精能力，对判断男子生育力极具价值，常用者是人精子穿透仓鼠卵子的异种授精实验，以正常生育者的精子作为对照。　　3、前列腺液检查：正常为乳白色、偏碱性，高倍镜下可见满视野的微小、折光的卵磷脂颗粒，少许上皮细胞、淀粉样体及精子，白细胞数大于十，有炎症时白细胞数目增加，甚或见到成堆脓细胞，卵磷脂颗粒显着减少。　　二、内分泌检查。通过促性腺激素释放激素或克维米芬刺激试验可以了解下丘脑一一垂体--睾丸轴的功能。测定睾酮水平可以直接反应质细胞的功能。如有必要可测定甲状腺激素、肾上腺皮脂激素或泌乳素。　　三、多普勒超声检查。有助于确认精索静脉曲张。　　四、X线检查。为确定输精管道的梗阻部位，可采用输精管、附睾造影，输精管、精囊造影或尿道造影等，高泌乳素血症者摄蝶鞍X线断层片（正、侧位）以确定有无垂体腺瘤。　　五、免疫学检查。通过精子凝集试验或制动试验检测血清或精浆中的精子凝集抗体或制动抗体。检测方法虽有多种，应因地制宜选用。　　六、睾丸活检。用于无精子或少精子症，直接检查睾丸曲细精管的生精功能及间质细胞的发育情况，局部激素的合成与代谢可经免疫组化染色反映出来。　　七、染色体核型分析。南京最好的男科医院http://www.1000nk.com/专家介绍，用于外生殖器官畸形、睾丸发育不良以及原因不明的无精子症 。,06-12 13:03
0,达奇偶,中山无症状前列腺炎要怎样治疗?,,157,中山光明男科医院24小时咨询QQ：987333777　　中山无症状前列腺炎要怎样治疗?中山无症状前列腺炎的病因有哪些?中山光明男科医院专家指出，前列腺炎除了会出现尿频、尿急、尿不干净等症状。还有些前列腺炎患者根本就没有太明显的症状，只有进行前列腺精密检查才会发现。这也便是常说的无症状前列腺炎，那么，我们该如何去应付无症状前列腺炎的治疗呢?下面来看看中山光明男科医院专家的介绍吧。　　中山无症状前列腺炎要怎样治疗?　　中山光明男科医院推荐：“沃尔曼强效前列腺治疗系统”集涡流磁透融技术、生物离子、电化学效应等于一体的。适应症广泛，总有效率达98.9%：高效安全，不受年龄限制，安全解决各种前列腺疾病，对男性功能提升效果明显。　　中山无症状前列腺炎的病因有哪些?　　1、细菌感染：比如不清洁的生活、感染淋菌性尿道炎后，由于治疗不彻底可以合并或转为细菌性前列腺炎。扁桃体炎也可合并细菌性前列腺炎。衣原体、支原体也是前列腺感染的病原之一。　　2、工作过度劳累、疲惫及焦虑、紧张易导致前列腺炎。过度饮酒，吸烟，过食辛辣、欲过度引起前列腺充血，有利于细菌繁殖，易诱发前列腺炎症。　　3、久坐，出租车司机及从事长时间坐位工作的人易患慢性前列腺炎，且不宜治愈。　　4、感冒、疲惫、免疫功能低下也可诱发感染前列腺炎症。　　5、会阴损伤、慢性便秘、痔疮均可导致慢性前列腺炎的发生。　　温馨提示：为了方便患者能及时了解相关疾病信息。中山光明男科医院特别开设了绿色就诊通道，享受免挂号费，优先就诊双重优惠，还可领取100元代金券，用于手术或治疗!可加男科专家QQ：987333777与中山光明男科医院的在线医生进行一对一的在线交流。中山光明男科医院官方网站：http://www.zsgmnk.com/祝您健康!,07-20 12:47
0,fdewef67,谁说脊柱侧弯一定要带支具? 谁说脊柱侧弯一定要手术?(转载),,764,谁说脊柱侧弯不能改变?谁说脊柱侧弯一定要带支具?谁说脊柱侧弯一定要手术?多年来，由于我们对人体奥秘的无知以及对现代医学的盲目崇拜，因此，人们在面对众多所谓的“不治之症”时，都选择了沉默和无奈。所以战胜身体内的顽疾，必须先要从彻底改变，我思想深处的认识开始……　　中医，尤其是正骨、复位治疗脊柱侧弯以及神奇的疗效，安全的特性，被许多国家接受，并以法律形式列为国家合法医疗手段。世界卫生组织证实：正骨、复位、点穴、按摩对于30大类，100多种疾病都具有显著的疗效。　　1972年在尼克松访华团成员中，有一名年轻的随团记者，27岁脊柱侧弯39度，外交部官员请来了北京中医疑难病脊柱侧弯治疗中心的医学权威孙主任为其会诊，仅用了八十三天的时间，成功的治愈了他的脊柱侧弯免除了手术。从此，正骨、复位、点穴、按摩的神奇疗效以星火燎原之势在全球迅速传播开来，一时间神医妙手的赞誉之声此起彼伏!　　在第二届中医药全球大会上、在世界传统医学大会上、在国际中医医促会上，在海峡两岸国际中医骨病研讨会上，传统中医正骨、复位、点穴、按摩治愈脊柱侧弯的神奇功效，让来自世界100多个国家的医学专家为之惊叹!在中医的神奇疗效面前他们还是毫不吝啬的献上自己由衷的赞誉：“Your Chinese is inteIIigent great!”　　中医正骨、复位、点穴治愈脊柱侧弯的高度荣誉:　　1999年10月在新加坡举办的国际医学博览会上，中医正骨、复位、点穴、推拿治疗脊柱侧弯荣获优秀成果奖　　2002年5月“中医正骨、复位、点穴、推拿治疗脊柱侧弯技术获得国家专利局永久性保护。　　2002年11月，中医正骨、复位、点穴、推拿治疗脊柱侧弯被中国社会经济调查所评为市场信赖治疗手法。　　2003年11月中医正骨、复位、点穴、推拿治疗脊柱侧弯中国医促会评为华佗杯创新与发明奖　　2004年8月，中医正骨、复位、点穴、推拿治疗脊柱侧弯被评为中国国际专利技术金奖　　2005年6月，中医正骨、复位、点穴、推拿治疗脊柱侧弯被评为百佳优质诚信单位　　2005年7月，中医正骨、复位、点穴、推拿治疗脊柱侧弯被评为新加坡国家博览会金奖　　2006年8月20日巴基斯坦卫生部颁发“亚洲之星”奖，这是巴卫生组织授予外国医院的最高荣誉　　2006年11月，中医正骨、复位、点穴、推拿治疗脊柱侧弯被世界卫生组织指定为世界推广培训机构,06-23 08:39
0,龙海豚,中山前列腺增生会伤肾吗？,,649,中山光明男科医院24小时咨询QQ：987333777　　中山前列腺增生会伤肾吗?前列腺增生症是老年男子常见疾病之一，为前列腺的一种良性病变。所以很多男性朋友认为前列增生没什么大问题，就是前列腺变大点而已，又不会过多影响自己的生活。但却不知道前列腺增生会严重伤害您的肾，使您的肾功能受损。那么，中山前列腺增生会伤肾吗?　　中山前列腺增生会伤肾吗?俗话说：“少年撒尿射过墙，老年小便湿裤裆。”上了年纪的男性，不少会遇到“小便湿裤裆”的尴尬，导致这种情况发生的常见原因，就是前列腺增生肥大。而作为中老年男性的常见病，如果前列腺增生肥大长时间得不到治疗，甚至可导致慢性肾功能不全。　　中山光明男科医院专家表示：肾脏功能受损时，可出现食欲不振、恶心呕吐、腹胀便秘、消瘦贫血，合并上尿路感染时常有寒战发热，有些患者排尿后，可能仍出现可触及的膀胱区膨隆等。　　中山光明男科医院专家介绍说：前列腺增生肥大的发生是渐进性的，随着前列腺逐渐压迫尿道，起初表现可能仅仅为排尿次数增多，此后便出现排尿无力、尿线变细、排尿不尽或伴有血尿。最后膀胱内压增高，膀胱失去收缩能力后出现尿潴留。要是至此还得不到及时治疗，严重的排尿不畅继续发展，就可能影响肾功能，严重者可导致肾病甚至尿毒症。　　中山光明男科医院引进美国绿激光PVP治疗系统的治疗优势：　　创伤小——手术通过尿道进行，体表无创伤，不会伤及正常组织。　　出血少——吸收组织中血红蛋白，迅速封闭血管，术中、术后基本不出血。　　适应症广——对年龄和腺体大小没有限制、心脑血管疾病患者也可手术。　　效果好——术后立即可恢复正常尿流量。　　住院时间短——术后观察2-3天就可出院，疗程短。　　------------------ ☆☆★★☆☆ -------------------　　温馨提示：为了方便患者及有需要的人更好的了解所患疾病相关信息，中山光明男科医院特别开设专家免费在线QQ咨询服务，你有任何疾病问题都可以咨询在线医生，在线医生会尽力回答您的相关问题。中山光明男科医院祝您健康，幸福，快乐!　　☆24小时咨询QQ：987333777　　☆中山光明男科医院地址：中山市光明路85号(光明市场对面)　　☆您可以百度搜索“中山光明男科医院”进入医院官方网站，点击网站上面“QQ医生在线咨询”即可与医生对话(不用加好友也可以对话的),07-12 21:55
